Date,Close,High,Low,Open,Volume,PctChange,Digit
,AAPL,AAPL,AAPL,AAPL,AAPL,,
2025-05-12,210.15048217773438,210.62903686932515,206.12274573806786,210.32994399020487,63775800,,
2025-05-13,212.2840118408203,212.7525871854542,208.36594186281494,209.7915962682986,51909300,1.01523900443945,3
2025-05-14,211.68582153320312,213.29093762104833,209.94113079478424,211.78550901932945,49325800,-0.2817877344742037,2
2025-05-15,210.8084716796875,212.31390017581901,208.90426284202815,210.3099886465303,45029500,-0.41445848718687506,2
2025-05-16,210.6190643310547,211.92510277199543,209.1335944967917,211.71573318604425,54737900,-0.0898480725768036,2
2025-05-19,208.14659118652344,208.84446444770495,203.64029993754312,207.27923550566183,46140500,-1.1739075721298287,1
2025-05-20,206.232421875,207.83753801206538,204.40797196423648,207.03996203611737,42496600,-0.9196255872420789,2
2025-05-21,201.4768829345703,206.41186226922272,200.10108001028593,204.5475404614086,59211800,-2.3059123765283074,1
2025-05-22,200.7490997314453,202.1348820380274,199.09413231135568,200.1010778345708,46742400,-0.3612241724830323,2
2025-05-23,194.67758178710938,197.10020219746903,192.8730755135501,193.0824298832746,78432900,-3.0244309700308447,1
2025-05-27,199.60260009765625,200.1309909415137,196.83102019804124,197.6983910952664,56288500,2.529833309688767,3
2025-05-28,199.81195068359375,202.11494001836002,199.2935240345892,199.98143310081724,45339700,0.10488369682313259,2
2025-05-29,199.3433837890625,203.19167383577107,197.90775006205254,202.9623758748587,51396800,-0.23450393879255182,2
2025-05-30,200.24066162109375,201.3472946799051,196.18300200128658,198.7651407343476,70819900,0.45011668557843887,2
2025-06-02,201.08807373046875,201.51677709467234,199.51286535414474,199.67238359256916,35423300,0.4231968185255619,2
2025-06-03,202.6533203125,203.1518034040851,200.35033086337637,200.73914706631285,46381600,0.7783885702387527,2
2025-06-04,202.20468139648438,205.6143037964219,201.48686455307688,202.29440469878628,43604000,-0.22138246505105652,2
2025-06-05,200.02133178710938,204.12882762641604,199.54277706238673,202.88261988754903,55126100,-1.0797720380636866,1
2025-06-06,203.30133056640625,205.07592905349443,201.4370087789868,202.3841235560851,46607700,1.6398244877140922,3
2025-06-09,200.83883666992188,205.37503589356555,199.4131823149893,203.76991971327615,72862600,-1.2112532119803454,1
2025-06-10,202.05511474609375,203.73002568042446,199.96149509379936,199.9914028593682,54672600,0.6055990446562909,2
2025-06-11,198.17694091796875,203.8795888248368,197.8080682902945,202.88262262031438,60989900,-1.9193643442277586,1
2025-06-12,198.5956573486328,199.07419684911244,196.7612432530472,198.47602627663701,43904600,0.2112841326163073,2
2025-06-13,195.85398864746094,199.76209396079906,195.1062640673262,199.12403626091725,51447300,-1.3805280225029803,1
2025-06-16,197.8180389404297,198.08722408394675,195.96368113091867,196.7014416228738,43020700,1.002813527838864,3
2025-06-17,195.0464630126953,197.7881200100286,194.61777485692886,196.60172782081946,38856200,-1.4010734018898074,1
2025-06-18,195.9835968017578,196.97059871241268,194.4781834746436,195.34553910938874,45394700,0.4804669485349855,2
