GeneratedUTC,2026-02-28T04:38:39.730289+00:00
EZJ.L,1523231344433233143542422154233322123143434242234354443223423253525424222424422414442234152334153234224334443252422144414341413241242242442424434415222334143133423144242333415131314112334243444434134523354243245343235423453525211351122432334352222235133443342124335123532235244241444253122132133323332422443343435235335422315331343354424252324123454334435211144522252523434424253251534342343325424221
GM,1245131534322141443142532351331331532532233334442343354344442435452431234335352242243524524245322221414334452334324352333423333435324334534443332531352513334233444134524524433142245442151542423232333453533343123354434225315121143421155425245223441511525341323435322324132214251523453121541223444541123323233212341554312234353455431414232523452432534433314313243544353142231443435343445442453411133331
HPE,5444132215123451525144442451122434212343223234532441145545433444551221315143241334335432435134414534324442222425423245434443144335522522452544241233442421453231533135353244243251323443453132523242423453432254224354514254515151154122135325445124111321313121233543243354131411335523553321544322434541233331152533513345244214235453351544331312343342244425142553335453454132122522335242435352351211151241
HPQ,4532243215134251514342331421222323415121413423212421434135353423454221224113251142244242444135513433422442114334432232234424453225324322551543352212432452443212324144523435233251324342243311423232433453442352343354434225515151133213324423244231244411112233344443442343224324244432332222553323344431222431432245512545224422252444251224442212442443433444141545434344424142131551334244145354451311142231
IAG.L,1554242244441155133552342155233422114254433223333345452243232232535244121454511425442434352413333255343424433342324243314433515241252244433533324425432234132443535445333445345241515114432335133512245442555544552324254234425511142112354214455211122511554232413213321454444453224444254144452232433243534532355433543534414442255254343414242433355333453421115443234353444443444334244434434433433325134244
KR,4215522215541543543433125243434453413243324433225224412421223345131342444425324312134134133335232451332443334222322432233224422241244342123435334433122344233253441522233222552344423233223423242243452113223433444222445424352321524443523422242412454231431434233334333254543435333433144331224322442433232545114332434444233223324254243323425333344332333322244243443214452421324424342242244322243322434342
LNSR,4145354112233524213523244354244432444133223333342533354325534255141441223511151454332323353413422432242425211531532532243414431225232441224323451143342424234322245145154335243413132331333243313323334334333333334333324424424122333333331115355155151555554431151145134155151355554215511214231553135521511442351243154325155215135542515415215141551515452451154334255321445254412333515251154115411511513145
LUMN,4213114215443151114212541551154541515222522331551312254411555345441414211131451521555552352154511415552522511525411225551521215345111554552423341315521552213252335152515434523241415524152422514131212335224552235345513113115151151212112325155152151534515512125141133425223251535153522121545221132151114251152111312235111211155454551453553115244221451423115122525445454115551415125235154551515511555555
MRNA,5443435555213531421153121555515524145551131415545342554454531545451143214544521115113411451152312521355453131524454152225423214115112352541231231121232552134112545245542535242211232551254251425155521252421451544255542115515151151115125412134151451531314215135552111151114154155541421115434522344351131351555115251555215111411113232245423222132251421212145333111154113552421322124131535241452211131344
MSFT,1354133423213541412213545412421233244312333333343322413434142444322212423443222321344434343333413325323444232243324433341433244324322233243322252533344323343433343343233434423342433444333332524234334353432355343455512123415221134213243434235243122531423222443232342433231251235343533242442222343331442342434434325343233134422454341343432533323433442332142342324243445542332442323134424443443411322341
NEE,5124543225444332452343443433433444413343333434242334352132332444433325313445343333114432232243433445525234453434413334323224322223334353423352432324232143443343441443513424233124434345243552341142453525444242243324514135225211523443412343224321552225413425444222452322234314541325442132243333244521224232224221344424343443125313413214214334243443331233434232541233434443242443244243442343334314553341
NEM,4543414415154551353115445535333454225542514335434242535224224353541422115454451425341154151554531424344324324553333245324324443434451343233344554314153355324144441335451431533435542412335323243454451215125531213151232533555341243325342233454535133542414111435155153354425422342434553354225412233521231242432341333134345422213414431223212434344444332323421325344332452441421352434244443335351411453451
NFLX,5555152434114244312322335112322432332413334332323424413112134441521152134444342252343231354223324454221233322342534212432543243443231345244535243143333214142343142242144535443343342224434423532333454513243253444354544254315341243314154425155155121432414221241444243344332432255442523133322222253441332253144434444134455244443554333242342245122223451424332235435143444341441442433234543553453412242233
NOTE,1515115555113551115111511151235421115551511221553511314115211555531111312124111153112251451125211523554251121515421135555112415115512212231115452311451155535111415155551521515441511541515211514112551415442155313155312431414351141131115214151151151341414111115152551355121145115551551511551141515515155512151515151355422351132545111211111325333154322322144253425112254531341441155251542151122511111115
PAAS,4523455515144551452115235515233355315522415335534322545232214554541541245455341224341344151551531425334345414553114345255224533434551342242454553213132255221325441444351441422433441435435424342454342415525411324142121545545241142325233133354455132542315241524125152254515541533534251244315412334421321152514351433125235141411532221152122545324225332423511525245123554441421241235144545235511511154431
PROF,1553532545141351115321215141251153552415332441154252545511511525451111524535322223253511452121412554554114155255224551231414233125241514224152252341314252224221522423521515112355145525435242533535551311511551553443514244532111114111123244212254212544115124554535511232245112132324412231425524431351413214411145355331231325111541541415431213431452241215344532125123124213111153241235514251134211333155
POET,1255153422131551154111513142355214142551311215552511455515541554542251111314141541111522251115511555155411545324422215343512152435541321514522152141131515111155551135331555224134214351551231524123535234452254315454524215415111551111154151455155151451515111151153151155154141412532551111155111555235151111451151515525153121511554111522151122251131113511541115535215445251321451145135525534151111551551
