Ticker,LastDigitDate,Digits
EOAN.DE,2026-02-27,2333222222323233122222233222123331223322322313222231222113222132123222121222232112232221222222322222222222322222223322233221111232222221232211223222222213232223213223213223123322222322221322222132233323211212322322221323323333113222332222222222222331322132322222222123222223232221223332211211232222211122222222123222232222122132112222122123122123222231211222222221122322232322221322322323212222321212
EZJ.L,2026-02-27,2312221232222122132322311133122212122132222221222233232112212132313323111212211213221223131223132123223222322131312122212221312131231132232212322313222222132122222133131222213121213111222222233322122322233132233232223312232313211231111222222231211223122332221112223112322123223221223132112122122212221222222222323123223221213221222232322132223122333222223211133321131322222212132231323232222213312121
GM,2026-02-27,1133121323222131232131321231221221321321222222321232233232322223232221122223231122122323323233212111312223332222222231222212222223223223322322221321231312222122322123323312222131133222131321212122222332322222122233322213213111132211133223233122321311313221222323211213122213231312332111321212333321122212122212231333211122232233321213121322231322322322213212122333232121221222323232233221332311122221
HPE,2026-02-27,3333122113122331313132331331122222111222122223321321133333322323331111213132121222223322323122312323213322121223312233323322133223311321331333231222231311332121322123232233232131222332232121322131212332321133213233313232313131133122123223233113111221212111222322122233121211223312332211332211222331122221132322312233123112123232231323221211222221223323131332223232333122111312223222323232231211131131
HPQ,2026-02-27,2322132213123131313231221311121212313121212312211311223123232312332121123112131122122221332123312322221322112223222121123223232123212222331332231112222332322111223123312223222231213231232211312122322332321232222233323113313131122212223222233121133211112122233322331232122213122321221222332212222321111321222123312323213222131323231123331212321322322333131323322233222131121331223232133232331211131221
IAG.L,2026-02-27,2332121232221133122331222133222322112133322222222223332232121222323233111233311213231223232312222133222312222231223222212222313121232122222322213213221123122222323233222223233131313112321223122311233231333322332223133223313311131111232113333211111311333121212212211233322332112333133123232122222132323322233222322323313332233132232213121222233222232311113322122232332232323222233322223222322213122132
KR,2026-02-27,3213311113321332332322123132323232212122222322213223312321122233121232322223222212123123122223222331221332223121221322222223221121233231112223223322112222122232221321222112332222212222112312121222331112222322332121233313232211312322312312231311333121321223122223222233322323222322122221123212331322121323113221222333222122223233232212313222223221222221133122332212331221222313232231222211222221322231
LNSR,2026-02-27,2133232112222312112312133232233322323122122222221322232213322133131231112311131333222212232312221222132223211321321322132312321213221231123212231132221213223222223123133223132212121221222132212222223222222222222222223313213121222222221113233133131333332321131133123133131233333113311113121332123321311221231232133223133113123331313313113121331313331231132223133211233133212222313131133113211311312133
LUMN,2026-02-27,2212112113322131113111321331132321313112311221331211233311333233331212111121231321333331231133311313332322311323211223331311213233111332332312231213311331212132223131313323312121313323131211312121111223122332223233312112113131131211111213133131131323313312113131122213112131323132322121323111121131113131131111211123111111133333331332332113223111231322113121323233333113331313113123132331313311333333
MRNA,2026-02-27,3232223333212321321132111333313313123331121313333232332233321333331122213322321113112311231131211321233332121323233132113222113113112232321121221111221332123111323123331323232111121331133131313133311232311231332233331113313131131113123211122131231321212113123331111131112132133321211113223312232231121231333113231333213111311112122223212221122231221111133222111133112332321222123121323231232111121233
MSFT,2026-02-27,1233122212212331211212323311221122133212222222232221312322121332211112312232112211233222222222212223222222221232213322221222222222221222132222131322222222232222232232122322322222322222222222312123222232322233222333311122313221123212122323123122121321312111232222221222221131223232322121332211222221222232223323213232222122312332221232222322222222231222122221223222223331221222222122223232232311212231
NEE,2026-02-27,3123322113223222331222322322322232312222222222121222231121221222222213212333222222113321222232322233323223332322212223212112211212223232222232222212221132322222331332312212122113323223132331231121232323332131232212313123113111322222311222113211332213312213322221231211222213331223332121122222223311212122212211233212222332113212312213113222232332221122223122321222323332232322132222232222222213332231
NEM,2026-02-27,3322312313132331232113233323222333113331313223323131323213213232331322113333331213221132131333321313223223213332222233223223322322331232222233332212132233223132331223231321322223331311223222132233231113113321212131121322333231222223231222233323122321313111323133132232223221221322332232223212222311221132322231222122233212112312321112111323233233222212321213232221331321311231223222332223231311232331
NFLX,2026-02-27,3333131323112232212211223112221321222212222221222213312112123331311132123332222131222121233122223332221222212231323111321322122232221223122323132132222113132232131222133323322232231122322312322222333312232132232232333133213231122212133223133133111322313111121333132233222222233332312122222121232231222132132223322123333123332333222232221133122112231322222123223132323231221331322123332332232311222222
NOTE,2026-02-27,1313113333112331113111311131123221113331311221332311213113211333321111211113111132111131231113111312333231111313321123333112213113311211121113332211331133323111313133331321313221311321313111313111331313322133212133211321313231131121113213131131131221313111113132331233121123113331331311331121313313133312131313131233311231121333111211111213222132211211123232223112233321221331133131332131111311111113
PAAS,2026-02-27,3312233313122331331113223313122233213311213223323221323122212333321331133233231123231223131331321313223233313332113233233123322323331232131332332112122133111213321233231331311322321323323223231333231213313311212131121333333231132213222122232333121322213121312123131233313321322323231223213311222221221132312231322113123131311322111131121333213123221222311313133112333231321121223123333123311311133321
PROF,2026-02-27,1332322333131231113211213131131132332313221321133131323311311323231111312323221122132311332111311333333113133233113331221312122113231313113131132231213231213221311312311313112233123313223132322323331211311331332222313133321111112111112123212133112332113122333323311121123111121212311121213313321231212113311133233221121213111331331313321212321331131113222322123122122112111132131123313231123211222133
POET,2026-02-27,1133132311121331132111312132233213131331211113331311233313331332331231111213131321111321131113311333133211323213221113232311132323321221312311131121121313111133331123221333113122213231331121313122323123331233213333312113313111331111133131233133131331313111131132131133133121212321331111133111333123131111331131313323132111311333111322131121131121112311331113323113223131211331123123313323131111331331
PW,2026-02-27,1333231311113313123113113311333313311331111113123313113313331133331112321113131133113311111131111123232133313211212333113111113213232313233223312223121222123232322133212222122222222222232212113122222232221323122222223233123131122112221232233132132131213131113311131133132322311322211311321311333231121111113313313313133212121213312123313123211133113133323131131232121313112111213331113313113331213331
RIGL,2026-02-27,1322113232122231123221221231213111133112211323222131311132311232333133323311131123221313332233121133322122111213111233113331111311331333333333333232211333213131331232213222213121211333233131311332232122331131222333323123313111131211213222133132131111313231321322111331112331232331313213123321312221132111111121233233331122333333231213111212133132131213313213222222322122321231133121313133133311122113
RWE.DE,2026-02-27,2233221333113232113222233223123332222232322323222222222122212131213112123122321223332222221322322323223223233221212222233321221221222232122221223212322123322222323112223222223221123333222222222132123222222221222232231223223313113232222322123223222232222132333222221321122222331221223232311222332222222112122221223232222112223132312321212221122222222222122112322321121322232322223222322232312322321122
SAP.DE,2026-02-27,2321131321321332321331213321111212232313122223222222221332222221322221122222121322122131232222212232232222122223311211221231212322221222231213222123322111223222122331322232232311231221222232322321222232222221123233323112331313111232121322223231311113132132222223122322333122322223222233222233121322122223222223233212123222122222312221122223322222332332212222312323222232222112323222222222323222331113
SHECY,2026-02-27,3223233311333331313331122331233323223332222232231133132123232332331211322223122222121121222223312113322233222323232132132122121222122233222333232121111333232122113123123313213121133221123221322121331332212233123332212123313321122213132123222232122321212312221131232222113131312222322221232213222211211121221232321322123221111233222221121112131222221221231322223112133221211222223221232132232311131331
SSYS,2026-02-27,1211112312121231113131321331133122313332111213122212332213331332231121112232121211112331231232312213231212223132222221122211133113313231131312331221311133121221121223132322311331122322231112311122222221323232123232311223313121132113213123233123121131222111122332111323321212311323311311331211231111131332331312221322321113131133132113211213232221212331133332133123233231113212123132323131221211131123
TSLA,2026-02-27,1133122212123331121312212331221223321311111223231333133123322232311213211131131331233132133131312313113223131331333332213331112333111311223323231121331232323133323123112211323133123331121121323121313333321132132333312122213111133112133323113133121311311111132233111113133121121231313221231111133121333133233313312132133312133333121211331222222212131311123133313221222331331321113122323131231211131323
TSM,2026-02-27,2123232222133333113123323221231233213233223233331211132322331232321312212132121322333321121131311313323321123313222223333331122333211322122232131222132312132322232123223233212231223222332122313222222332231133321233312122313121133211123232133132121331213112222311221233123231123313321211333122123321223131123233312123232121112313231131313121321232223233211323213211233231321322213121223132332311131132
UN0.DE,2026-02-27,2231232222322221312321223332113112322232333111222211233232112323222313322222121221213111231321123212131213222213113213321331112112223122232322213121122222213221222231232123212221221212222232222232222222222122313221222321232313113111122122123232221323112132321223132322122122222221222233131213332212121122122211223222213132211131123221122331222221133121112232133332233213211231112132222211313231331113
UNIT,2026-02-27,1121133123122231131332211232213133132313121223121123332311232223231112311323131322113332222131111313211312113313211131133331123323112121233111121122123333133133233122332212322121212122132122312111133333311222233233313133213111123331213223133123131111221333111331321233123111321233332121212321221331122233111312212133223311132232331232111321233223112313113312313211313212332132213121323131123312333133
VLVLY,2026-02-27,2213223211232221333133322331232122232332222222232122331233222223331321122332131122222222231322221212332213113222232232212221221213123122231333221212121333112211333113223213221121313222221222221122122332131132123331323232313111122112123111233121133313113321313332322323213312332332321123322222222221212221223323232233112221121323222123322213121222222322112323213232333121111322223223223232232212123232
VONN.SW,2026-02-27,2322122222231233112222221232212332222223222223212322222222222222232122223321211232122332212222222222222221122221122222223222222222222222222222222221312212322332322132223223232222112222223212222222223222222233333121323333131112222223222222323212231322322221222222322211222312232222321222322232222222222332232222232232222212222222221222131232222222322222232221322222222121122222222222222222232112321222
VTRS,2026-02-27,1122222322133332323221222331211323322222322322233122232332322222331122121322132322212222232322312122223332131123221121223122322122222223333331232112122332133121222123321323232121323331121232312132231131331232233333323113313121121211213121333111232323111233322232211221112313221222123122112222322311221231211212231232223312131323121323221212223222221322122312212223233211221323223221323121132112223132
XOM,2026-02-27,3222312312132331331232322232223323311332232233223122233222312321222131321323222221322233223222312222322113223221232223221212223223232222322222211223222322122212223233312321132323233232122221222111232233323122122232313322313111122322322223233221333121322121323221232123212213121222323212222322222221212222212122221123312122222232312212222222221222212323333112323233232132211232233221222222233212123123
XPER,2026-02-27,3333122313113331312121221321233212222311312222231212133231331222331111112221331131132221231223312212333123231323221231123321223123112321331332221111221322322111222122321313222131223331231222321132122232322111232233322222213111122113132223133132111321312211221222132233212231121322312111313321222221123333331321131322333132112133231123212212333332121311132313213222323331111122333121333132133111132233
BLNK,2026-02-27,1223112313121331122111311321313131313133111211131331111113321321211122111233131131111323131113311113313132121333223332332121133233211322333121221121111333331121233133131333113131213331333112331131311132333132111333312311312121133122113212133113113331233111122132221212113311211122311112333111332311131111322213321322213111131313131113331123233231312332113313112131313321211321123131213131111111131133
ENI.MI,2026-02-27,2322223322223223232223232322222133232123332223221222222123223232212212222332222222222333222221212223222113233222222222321211222222222222222223221222232222222222223222322222122223233232322332222321222222333223222222323233323111112221233222323222223221211222222222223222232232221221132322222232333222211222222222222211222122321212222222113222322212222133233221122132223221212112222223222232232232111322
F,2026-02-27,1233132123332122222232321231121211323232222212321222332222312223331231213323231221221321323222321112323123222212222232122222212223123222322223331311131313221121232123323312332132123231231321222122222233213123132233313213313112132311223213233211232311312221223332222113122313231332322221231212232321212212221211221332113222132233321213132312232322322321312312222223233121121222213232323231233211121121
GLE.PA,2026-02-27,2132232333111131113332133132212232213122323222223323132231323222332132121332313222313322322113232223212222131221332132333313212222112212123132333231333223312232121132313312321312131323212231232312312223223232321233333233123333131111211123321233322212331222332222322133133231222322322322332223131232322222122322333321231121231323113213123322222222332222222331211231311323223213232122223232322232222232
GNRC,2026-02-27,1223222133231331333113311332223233311331212222311111231323331323231331113222131131122331131233312332132213121323112133133311221123212221332321232331232321332111232133322333333131123232231121322112322332331331322232312123313111132211113123233122132311212222111213132221113211211322223212233222221211121321121122122333212112133323332222222222131231213313233313322232212231121221123121333222331121122132
GS,2026-02-27,1233121332122331123222231231132132212332212322322121333332331333321321113332222222122321232121312122321222212223322232321321222323221212232222231223232322222132321133232333223231232233222221322121223332321133222233313123213211132211133223233122111311312121123322222332123222232333332122222222232321121231222222222233212222133133121223132212232332322312222312213223322131221232223221232332232311123133
LAZRQ,2026-02-27,1132331313113131111313113213133113233131313111311111331113311331112311111213112312313311133112311311333121113111323331231331112112321111132321111121311331133321113133111323112121113231211122311111313133331122131232123111113113111113121313333133111331313111313131232213133111311111311113333113331111311111231311131311111111331133331113331213221121312313112313132113333131111231233112133133131311123133
LUV,2026-02-27,1312121232113132333131121231231113222322222213321333332232232233331221223123231221112311232223311222223123123222322232132121222323212232231222221211121222212132332223323212322131113232112232321122332222332233332233312121313121121211222333233323111311323231322322112223211213221321231221222212233321222121213323231322122223133233121333312213132222212331221312322322221122323221323322323222232311123113
MA,2026-02-27,2332131321122122223232121321222112223211222222322223322221321323232211112222223122112222323123211222222222221221322132221222222223232223222312231322222222222221222232232213311231222222222322312122232232232232322232312222313121122313223223223221121212322221222222222232313223232222322122122212232221222233122222222332122221233232231322222222232222231222222221222122222232122232322222223222232312233232
NVAX,2026-02-27,1323323223132331111131331133311332133332121313232221231122311332331111111311131122113311131123311131223323121333133132313313123213111333331133231111111323223131223123311223131131211231131331323123331131311121312113321123313133121111113112131231132311313112112231121132113133132312211113333311212221132321332112311332233311131313111113121221312213121113113213232111311231213332112121333233231311131133
NVS,2026-02-27,3223322233232232323221333232213222223222222232222232222122331223231212223322222222112222222222222222323323222222222121223232222312232232323231233122122232211121232212322323322111322222222321222233331121131131222221223223323211331233222232232231232223221223223122222132223313231321222133222212223221322221222122232222222221222211321213222112222232322222222222222213221222121222222223332222222212223222
ORA.PA,2026-02-27,2123213122223222232322233231223232213231222222222213222221223222222321221222233212231221222132331233211122223122222122323223122322112222222323222223223123232222132122122232222222222222222222222221222232332212123223321223222232221132232222122222222223213222232322221332222222222332222222323222222222222222222212223122222223222222212211222312213222223222223321121211222122222222233232222222212222222222
OXY,2026-02-27,3212323323132231331232323231113322313132332223213112132122322322222131322233321232212233222122211223312133233212132223211212233233222222331331211112322331232113223123311321121313233332133121222121211333323123122232313322313111122312332222233121232121222111333221232223212212122122313223232322223311211222312122221123223123121232312211221222221123212332323112322232221121111222223221223212232211122222
PFE,2026-02-27,3222321222223231312321322232233222223232222212221132231232321223231132123322231232212222223222211121323322122222222132213122212212322222322331322112122232222112223223322223222121323321222231332132331231221131332232322132313111121222112222232211233212311233232222122131113223231323212222322222223321312211323111321332222113211212122213222222123221323222222212222223212332221322222222312232221112213232
RIG,2026-02-27,3213133313231331331331333333123222312332332223323111212222321332331233211233221313311233222131311123333212133313132323232312113133311212331313321112312332331111313113321211111213233333133131331112113133313133112333213111313131113213313131233131133231111121312111331123123132221121323313223331331211111132211132321133213131121132313311221222331132211331313112222133233121211221223111223112132211132123
RRC,2026-02-27,3232133313232131231333122233322221131121232132213112122122312331221232211323222331112231232131311233213222333312232223212323232322222122221222211223213221222133212222112213132323332332123121222121222333332232123323312322313121122331213223333223321232313111232221231132312221212223332332322132233221111232312121213223323222132232321321233222221123112133223111323323223212211232123121323223232211222122
XYZ,2026-02-27,3332121333112331312112113331311132133322222322321213232213311333222311112131131131122331332123212333233132121223233121231221132223221321332123131221232233333131231223233223222131221332232222323113312332333212132333312123313121133111113223333133121311313111122232122221213331221323322111233111232321231131131323221123133311332132221213231113232323231321122312213233223221221231323131333131333212131212
THC,2026-02-27,2323321132332133132222222211131221212321223223322212211112122223331222112312123112313323232233211131232223232323211221313322233223133222232332231232331312232133322221232313222322331123132322332123233332123233333133313212113221132323323113133112132311121331323231222122313223132313313133312212122311212121321222213211221122121313321132112113133232311212131121313313323221221232223332222222232231121233
LOCK.L,2026-02-27,2332132322311332121321222222212222221322122222222212122332222222233122112122321212221223312312322123123222221122232222322322212223132222213222222312222222222322211222232222223221222222222223222232222222233222223232223212232313111231121232232331221123121231121222232222232133231323222323112213222222221222222122232222223232221132223322212222212122222323222222222222231223322212112232222223232323232111
