2026-01-22 00:00:00,SAFAAPL,500,-250.77
2026-01-22,AVGO,500.0,-327.78
2026-01-22,VONN,500.0,68.2
2026-01-21,MVESAP,100.0,-191.33
2026-01-21,SAP,200.0,-191.38
2026-01-21,RWE,1950.0,-51.72
2026-01-21,ASML,100.0,1158.038
2026-01-16,ASML,100.0,1164.7
2026-01-15,DVA,700.0,105.75184
2026-01-15,KR,2000.0,62.570935
2026-01-15,SHECY,2500.0,17.75
2026-01-15,VTRS,4999.0,12.8314
2026-01-15,JBEOAN,3000.0,17.17
2026-01-15,EZJ,10000.0,-480.6719
2026-01-15,ASML,100.0,1147.4
2026-01-15,VONN,2000.0,67.4
2026-01-14,DVA,300.0,-101.7
2026-01-14,CSCO,500.0,74.18
2026-01-13,DSY,4000.0,-24.38
2026-01-13,MVEDSY,4000.0,-24.36
2026-01-13,ASML,100.0,1094.7
2026-01-12,ASML,100.0,1084.4
2026-01-12,VONN,500.0,66.1
2026-01-12,RIGL,2500.0,-40.215868
2026-01-09,ASML,200.0,1082.2
2026-01-09,HPE,2800.0,-22.21
2026-01-09,NFLX,4000.0,-89.16
2026-01-09,NEE,499.0,-79.95
2026-01-08,AAPL,500.0,-259.14
2026-01-08,KR,2000.0,-59.89
2026-01-08,VLVLY,300.0,33.33
2026-01-08,ASML,200.0,1068.3
2026-01-07,EOAN,5000.0,16.76
2026-01-07,IAG,100.0,438.01
2026-01-06,NEM,1000.0,106.2
2026-01-06,MVESAP,200.0,-201.93
2026-01-06,VONN,1426.0,65.91
2026-01-06,JBEOAN,3000.0,16.38
2026-01-05,ASML,200.0,1049.3
2026-01-05,IAG,10000.0,424.85
2026-01-04,ASML,200.0,1028.8
2026-01-02,MSFT,140.0,-471.39
2025-12-31,MSFT,140.0,484.44
2025-12-29,EOAN,5000.0,16.02
2025-12-29,NEM,1000.0,-99.78
2025-12-29,VONN,574.0,64.5
2025-12-29,MVEGLE,500.0,68.42
2025-12-23,VONN,1000.0,64.3
2025-12-22,NEM,1000.0,104.77
2025-12-22,VONN,1500.0,63.6
2025-12-19,HPE,5000.0,24.47
2025-12-19,POET,2500.0,6.79
2025-12-19,VONN,500.0,63.4
2025-12-18,VONN,1000.0,63.25
2025-12-18,MVEGLE,1000.0,67.22
2025-12-17,ASML,100.0,-874.9
2025-12-17,C,104.0,111.253
2025-12-17,DXC,2000.0,15.35
2025-12-17,IAG,10000.0,421.8
2025-12-17,KR,2000.0,63.773
2025-12-17,PROF,2000.0,7.61
2025-12-17,EZJ,10000.0,511.21
2025-12-16,NEM,1000.0,-98.38
2025-12-15,IAG,20000.0,411.1
2025-12-15,VONN,1500.0,63.3
2025-12-12,ASML,100.0,-925.55
2025-12-12,AZN,499.0,89.72
2025-12-12,EOAN,5000.0,-15.08
2025-12-12,IAG,20000.0,402.7
2025-12-12,VONN,3000.0,62.9
2025-12-12,LUV,1000.0,41.84
2025-12-11,NEM,1000.0,99.35
2025-12-10,NFLX,1000.0,-92.48
2025-12-09,EOAN,10000.0,-15.5
2025-12-09,GM,9.0,76.96
2025-12-09,VONN,500.0,61.8
2025-12-08,NFLX,2000.0,-95.883
2025-12-08,NOTE,10000.0,-1.88
2025-12-08,VLVLY,400.0,31.52
2025-12-08,MVEENI,4000.0,16.0
2025-12-05,NFLX,1000.0,-100.88
2025-12-05,NOTE,10000.0,-1.97
2025-12-05,VONN,1000.0,61.6
2025-12-05,MVEGLE,1000.0,61.72
2025-12-05,LUV,900.0,-37.81
2025-12-04,ASML,100.0,961.05
2025-12-04,KR,2000.0,-61.98
2025-12-04,NEE,3000.0,-83.78
2025-12-04,NEM,2000.0,90.41
2025-12-04,VONN,1200.0,61.2
2025-12-03,ASML,100.0,960.8
2025-12-03,HPQ,4000.0,-25.28
2025-12-03,MSFT,200.0,-478.88
2025-12-03,MVESAP,499.0,-206.43
2025-12-03,SAFASML,250.0,963.04
2025-12-03,ENI,5000.0,16.35
2025-12-03,RIG,7500.0,4.47
2025-12-03,JBASML,200.0,962.8
2025-12-02,ASML,200.0,950.45
2025-12-02,HPE,5000.0,-21.96
2025-11-28,PAAS,1000.0,45.45
2025-11-27,IAG,10000.0,398.01
2025-11-26,KR,1000.0,67.35
2025-11-26,PFE,2000.0,-25.73
2025-11-26,RIG,8000.0,4.29
2025-11-25,RIGL,500.0,48.28
2025-11-24,ASML,500.0,911.1
2025-11-24,NFLX,1800.0,-104.38
2025-11-24,ENI,2000.0,15.8
2025-11-21,IAG,10000.0,-375.2
2025-11-21,RIGL,499.0,46.8
2025-11-20,NFLX,200.0,-105.73
2025-11-17,AVGO,200.0,342.32
2025-11-14,ASML,100.0,-886.7
2025-11-13,IAG,10000.0,399.2
2025-11-12,DVA,1600.0,124.33
2025-11-12,PAAS,2000.0,38.853
2025-11-12,POET,2500.0,-4.9789
2025-11-12,VONN,800.0,60.4
2025-11-11,NOTE,3333.0,-2.76
2025-11-10,DVA,1600.0,-120.14
2025-11-10,NVAX,1000.0,20.855
2025-11-07,DVA,1600.0,123.44
2025-11-07,IAG,20000.0,380.01
2025-11-07,KR,1000.0,64.9
2025-11-07,VONN,2000.0,-58.45
2025-11-07,RIG,5000.0,3.955
2025-11-06,TSM,300.0,288.85
2025-11-06,VONN,2000.0,-58.8
2025-11-05,EOAN,14450.0,-16.04
2025-11-05,IAG,20000.0,425.1
2025-11-05,NEM,2000.0,81.47
2025-11-05,RIGL,2000.0,37.21
2025-11-05,VONN,1000.0,-59.2
2025-11-04,AAPL,500.0,270.04
2025-11-04,C,100.0,-100.93
2025-11-04,DVA,1600.0,-118.68
2025-11-04,KR,2000.0,-63.69
2025-11-04,NEM,2000.0,-78.88
2025-11-04,RIGL,1000.0,-28.33
2025-11-04,ENI,5000.0,15.86
2025-11-03,IAG,25000.0,427.2
2025-11-03,NEE,399.0,81.87
2025-10-31,IAG,10000.0,421.01
2025-10-31,NEM,1000.0,-79.88
2025-10-30,NEM,1000.0,-80.88
2025-10-30,VONN,979.0,61.2
2025-10-29,IAG,5000.0,410.55
2025-10-29,SHECY,2632.0,-15.2
2025-10-29,VLVLY,1500.0,-28.0
2025-10-28,HPE,1800.0,24.12
2025-10-28,NEM,1000.0,-79.599
2025-10-27,ASML,100.0,910.25
2025-10-27,IAG,10000.0,410.07
2025-10-27,VONN,21.0,61.2
2025-10-24,ASML,100.0,894.75
2025-10-24,IAG,20000.0,406.2
2025-10-24,KR,1000.0,-66.995
2025-10-24,NEM,2000.0,-83.50167
2025-10-24,NFLX,5000.0,-109.68800000000002
2025-10-23,IAG,10000.0,405.01
2025-10-23,NFLX,5000.0,-110.356
2025-10-22,IAG,10000.0,402.8
2025-10-22,NFLX,13000.0,-111.745
2025-10-22,TSM,800.0,-286.4025
2025-10-22,EZJ,10000.0,495.6
2025-10-22,GNRC,300.0,-183.16
2025-10-21,AAPL,500.0,263.58
2025-10-21,NEM,2000.0,-86.41
2025-10-21,PAAS,1500.0,-35.72
2025-10-21,RIGL,2000.0,29.92
2025-10-21,SAFAMZN,500.0,221.65
2025-10-20,HPE,1800.0,-22.63
2025-10-20,KR,1340.0,-68.98
2025-10-20,NEM,1000.0,94.22
2025-10-20,NFLX,1000.0,123.356
2025-10-20,F,3000.0,12.02
2025-10-17,ASML,100.0,862.601
2025-10-17,TSM,500.0,296.4
2025-10-17,VONN,1000.0,-58.89
2025-10-17,MVEGLE,1000.0,-54.02
